college,department,href
College of Liberal Arts and Sciences,International Studies,/my-ui/courses/by-department.page?search=&_ticket=xY3P0GMHP6lw00t5-7oaZieYtXpT9Iue&q.academicUnitId=551
College of Liberal Arts and Sciences,Iowa Young Writers' Studio,/my-ui/courses/by-department.page?search=&_ticket=Ll-vQtSseBBw00t5-7oaZieYtXpT9Iue&q.academicUnitId=486
College of Liberal Arts and Sciences,School of Journalism and Mass Communication,/my-ui/courses/by-department.page?search=&_ticket=rXLLstIdx9Nw00t5-7oaZieYtXpT9Iue&q.academicUnitId=563
College of Liberal Arts and Sciences,Latin American Studies,/my-ui/courses/by-department.page?search=&_ticket=bqFldu6WqFlw00t5-7oaZieYtXpT9Iue&q.academicUnitId=552
College of Liberal Arts and Sciences,Latina/o Studies,/my-ui/courses/by-department.page?search=&_ticket=-74en5VI3Qlw00t5-7oaZieYtXpT9Iue&q.academicUnitId=714
College of Liberal Arts and Sciences,Linguistics,/my-ui/courses/by-department.page?search=&_ticket=la5hXsFmRnVw00t5-7oaZieYtXpT9Iue&q.academicUnitId=553
College of Liberal Arts and Sciences,Mathematics,/my-ui/courses/by-department.page?search=&_ticket=tDdbqBp-Ga1w00t5-7oaZieYtXpT9Iue&q.academicUnitId=554
College of Liberal Arts and Sciences,Medieval Studies Program,/my-ui/courses/by-department.page?search=&_ticket=Jw6uJa2QULVw00t5-7oaZieYtXpT9Iue&q.academicUnitId=521
College of Liberal Arts and Sciences,School of Music,/my-ui/courses/by-department.page?search=&_ticket=_e0ewQ_Ru2Jw00t5-7oaZieYtXpT9Iue&q.academicUnitId=525
College of Liberal Arts and Sciences,Museum Studies,/my-ui/courses/by-department.page?search=&_ticket=qKB5-yVUypVw00t5-7oaZieYtXpT9Iue&q.academicUnitId=475
College of Liberal Arts and Sciences,Optical Science and Technology Center,/my-ui/courses/by-department.page?search=&_ticket=stwoBQRGTClw00t5-7oaZieYtXpT9Iue&q.academicUnitId=711
